fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220523 232704	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	53	TRUE	0.100341142124962	0.406059825718403	3753	258	0.0302074881027996	11303000	1
20220523 232718	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	67	TRUE	0.0968200623602606	0.707604061411694	2853	432	0.0314189990657421	11359000	2
20220523 232728	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	0.15292412851227	0.758858417226002	3266	901	0.0351404983104051	10040000	3
20220523 232742	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.115043185657356	0.782800068939105	1147	346	0.0199342077243879	12456000	4
20220523 232754	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	12	TRUE	0.226831328441505	0.670909680314362	737	822	0.0270043147102115	9493000	5
20220523 232821	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	149	TRUE	0.0647518029480707	0.462907319637015	4318	305	0.0227955650707978	12581000	6
20220523 232846	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	170	TRUE	0.0526739443781553	0.632670873161405	7954	109	0.024364269808575	12280000	7
20220523 232900	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	0.165307679500314	0.507759612658992	5825	138	0.0367622312536696	10408000	8
20220523 232911	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	21	TRUE	0.255750488215941	0.532139164339751	2025	506	0.0124279097624822	11604000	9
20220523 232929	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	11	TRUE	0.241892309232964	0.366750638438389	200	955	0.0395484900363954	6699000	10
20220523 232948	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	72	TRUE	0.0806914720005588	0.268860469860956	1381	722	0.0157577488716925	12831000	11
20220523 232959	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	43	TRUE	0.170368295641965	0.336383097805083	6060	999	0.0499531611611019	7341000	12
20220523 233009	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.260067642370705	0.915810152050108	1746	699	0.0405734517810439	7929000	13
20220523 233033	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	227	TRUE	0.0372566139710834	0.941375139029697	7581	652	0.0186335958438576	12882000	14
20220523 233042	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	0.191013950568973	0.968218570360914	5524	835	0.0434938980722412	8850000	15
20220523 233052	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	37	TRUE	0.207221607738407	0.235909534655511	4540	34	0.0139425496405844	12873000	16
20220523 233101	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.293665534847765	0.309649422792718	7006	400	0.0442017431361213	8490000	17
20220523 233232	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	929	TRUE	0.0112244158418616	0.859138064645231	5094	172	0.0472005517721603	7839000	18
20220523 233239	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	13	TRUE	0.278628888749285	0.828674804186448	6645	536	0.0103298449879124	11605000	19
20220523 233255	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	49	TRUE	0.126728445983143	0.561560161570087	2614	581	0.0277125455880499	11909000	20
20220523 233309	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	46	TRUE	0.102532772134574	0.603213573414116	4421	530	0.0141802980177038	13516000	21
20220523 233327	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	132	TRUE	0.110018726452562	0.2428738593416	6476	454	0.0132703711402761	12962000	22
20220523 233348	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	96	TRUE	0.0450940825371173	0.656224822763741	2974	589	0.0112417693595369	12974000	23
20220523 233358	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	38	TRUE	0.131843950922605	0.808609846620757	5650	134	0.015848604987418	12726000	24
20220523 233415	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	80	TRUE	0.100101448620737	0.587969651251757	4441	663	0.016739894289422	13552000	25
20220523 233430	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	42	TRUE	0.109629437651661	0.493100176052644	3723	556	0.0159648393902504	13384000	26
20220523 233446	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	51	TRUE	0.0867174035922163	0.588511594397341	5032	698	0.0146396711309457	13248000	27
20220523 233457	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	39	TRUE	0.105762783874811	0.987612190599823	4335	631	0.0175777346622854	12690000	28
20220523 233509	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	49	TRUE	0.115806252117183	0.200652859492001	4466	595	0.016115650059577	13319000	29
