fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	max_depth	min_gain_to_split	bagging_fraction	bagging_freq	scale_pos_weight	ganancia	iteracion
20220530 033452	binary	custom	TRUE	TRUE	FALSE	-100	31	279	TRUE	240007	0.239832176453444	0.31096420174775	715	762	0.0183755777570898	27.0095831011228	26.3125500413783	13	0.663781011515918	0.662371019483544	10	59.5297740422877	7188000	1
20220530 033601	binary	custom	TRUE	TRUE	FALSE	-100	31	1381	TRUE	240007	0.134943293902761	0.657435648655519	2759	347	0.0203874746345617	66.4491825426618	62.5642221057205	14	0.327541208748395	0.412204494408797	12	109.407094737163	4581000	2
20220530 033607	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.115120546918188	0.69813984950694	5871	650	0.0152643108404138	40.5738575015372	81.8983024500388	17	0.563030824409604	0.513969095220091	7	96.8225680326738	-33465000	3
20220530 033656	binary	custom	TRUE	TRUE	FALSE	-100	31	1070	TRUE	240007	0.148998640864884	0.496715497400146	5764	711	0.0268849155631566	8.91804925680238	37.5169857861086	11	0.237382672125629	0.298788029807232	17	67.6169648921257	-5320000	4
20220530 033700	binary	custom	TRUE	TRUE	FALSE	-100	31	20	TRUE	240007	0.16835169864833	0.366783579306987	4524	437	0.0220137044045663	81.0250132034222	28.7825095952333	12	0.756058931845473	0.0824786984837071	21	183.042826749279	-32735000	5
20220530 033712	binary	custom	TRUE	TRUE	FALSE	-100	31	360	TRUE	240007	0.092543737590507	0.846473641464642	3986	434	0.0491340233981545	55.4049713934849	55.5941993710197	24	0.452566112270385	0.160323792078998	20	197.417874709916	-21690000	6
20220530 033820	binary	custom	TRUE	TRUE	FALSE	-100	31	1095	TRUE	240007	0.125257045971618	0.888598869178289	5082	394	0.0227805420647605	32.7900116603511	34.7356035354702	22	0.523390844765042	0.64112788514952	5	149.033014529205	7743000	7
20220530 033826	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.214369663206453	0.322534706556083	3269	905	0.038247772684392	99.6200534364713	46.1628901253183	13	0.280821172360447	0.474120209726	17	26.3529270312648	-91000	8
20220530 033830	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.119507724836779	0.862431574993146	6479	986	0.0349770384795799	20.9146025328664	85.7304566442811	11	0.481521581707057	0.0414118580132102	3	264.75643595235	0	9
20220530 033852	binary	custom	TRUE	TRUE	FALSE	-100	31	160	TRUE	240007	0.148434714506535	0.67384598198114	1407	555	0.0375107054144286	62.1646055122255	6.57859787606867	25	0.476568250252361	0.846877204428893	20	156.98945869816	6785000	10
20220530 033908	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.0459308400377146	0.528801680216566	2930	893	0.0341429735798657	45.6143854050121	72.1786305094914	26	0.8167860218576	0.695379670132146	11	114.964283549478	-1377000	11
20220530 033916	binary	custom	TRUE	TRUE	FALSE	-100	31	95	TRUE	240007	0.286365298410625	0.570133823501722	445	246	0.0404179465447669	97.264672331706	24.7726605981976	17	0.370731281043845	0.140677878206285	19	131.882716522698	3545000	12
20220530 033930	binary	custom	TRUE	TRUE	FALSE	-100	31	145	TRUE	240007	0.256401266434502	0.44455041543891	6583	288	0.02745759905552	23.8679183870166	70.0002674910744	26	0.78804652543234	0.551558907725848	15	7.11742825514569	5039000	13
20220530 033953	binary	custom	TRUE	TRUE	FALSE	-100	31	337	TRUE	240007	0.2036558847108	0.929523954858693	6100	535	0.0156623451481007	71.5718802413903	52.9001827497268	27	0.166829576221062	0.8598223048272	23	47.5326671363731	-4234000	14
20220530 034030	binary	custom	TRUE	TRUE	FALSE	-100	31	486	TRUE	240007	0.276974818158342	0.593188654844804	5579	485	0.0420593124107755	69.4605177573976	43.3323619377916	7	0.037963591220129	0.60315806833872	6	189.88247778798	6015000	15
20220530 034054	binary	custom	TRUE	TRUE	FALSE	-100	31	146	TRUE	240007	0.191583842055552	0.476863860986972	1208	476	0.0253257589778109	29.3280798374326	16.8342382346358	17	0.414798298666331	0.569810403530331	1	234.188419798307	6906000	16
20220530 034140	binary	custom	TRUE	TRUE	FALSE	-100	31	511	TRUE	240007	0.264027399931268	0.563477235733687	3045	708	0.0207584910134352	66.7189333849819	94.5543284004088	16	0.056450254933831	0.672669445916351	25	252.017161874607	7403000	17
20220530 034150	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.0328350027837829	0.814244261298639	7563	851	0.0314465322279931	75.8860117799486	78.4030056024979	20	0.434629112729453	0.526662955725139	16	174.06406610048	-10144000	18
20220530 034256	binary	custom	TRUE	TRUE	FALSE	-100	31	675	TRUE	240007	0.112408493330537	0.420109982621701	3757	775	0.0330745604366611	15.5693464762104	6.18038246563325	4	0.312051212657631	0.97297876944746	29	290.167327154708	5356000	19
20220530 034304	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.0258530316659017	0.644196704363761	4256	615	0.0122883280294951	36.1645403172588	67.2161445011928	26	0.210767965725002	0.203920072759502	26	77.3695853434939	-14837000	20
20220530 034329	binary	custom	TRUE	TRUE	FALSE	-100	31	559	TRUE	240007	0.250586361190556	0.867144448445955	2507	356	0.0308314991609627	83.2348958889876	84.0102903777733	20	0.986387712386204	0.290948834493368	9	278.769866351071	4301000	21
20220530 034444	binary	custom	TRUE	TRUE	FALSE	-100	31	1260	TRUE	240007	0.166583429499005	0.40233141524562	7136	797	0.0127338920173416	18.3828426534698	2.14123289236644	8	0.947538051337081	0.440121127821233	30	206.608762837948	3184000	22
20220530 034530	binary	custom	TRUE	TRUE	FALSE	-100	31	510	TRUE	240007	0.238548096054389	0.335340652009472	6680	858	0.0285245340693412	42.986326929046	19.4732872318127	10	0.671884886837991	0.802555843285518	8	53.34899796377	7791000	23
20220530 034625	binary	custom	TRUE	TRUE	FALSE	-100	31	315	TRUE	240007	0.159583649157867	0.534589213241513	2270	303	0.0437955893411628	12.9299088885697	60.4791339481987	29	0.110359990828632	0.881955073496404	13	220.036374070675	7581000	24
