fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220529 153205	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	26	TRUE	240007	0.150249879573938	0.742848681984469	5892	209	0.0310259637961281	10617000	1
20220529 153229	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	41	TRUE	240007	0.112278850419563	0.512893431913108	4609	462	0.0149802663766119	13187000	2
20220529 153240	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	18	TRUE	240007	0.189094990562531	0.293768114252016	1507	629	0.0318247425302009	10119000	3
20220529 153305	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	117	TRUE	240007	0.0742824002219131	0.32218365278095	6405	316	0.0254320719327855	12026000	4
20220529 153356	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	363	TRUE	240007	0.0155447965902276	0.710493802865967	3176	386	0.0208577673974408	12981000	5
20220529 153410	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	81	TRUE	240007	0.0885516423082445	0.676193727804348	5136	771	0.0430499811385137	9238000	6
20220529 153421	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	32	TRUE	240007	0.241014542790712	0.452610790217295	4293	142	0.0207585057646308	11629000	7
20220529 153430	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	26	TRUE	240007	0.203357198518701	0.619741822760552	3739	588	0.0352039933893442	9889000	8
20220529 153446	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	60	TRUE	240007	0.16717605051212	0.399337805202231	2058	934	0.0485642889567923	7836000	9
20220529 153455	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	11	TRUE	240007	0.281970498388866	0.983656130116433	1723	880	0.0281110565677712	10371000	10
20220529 153534	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	65	TRUE	240007	0.0320578058387619	0.955026392806321	561	500	0.0138746831313862	12867000	11
20220529 153548	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	65	TRUE	240007	0.134702783242683	0.41390350417234	7439	686	0.0371908919512255	10445000	12
