fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220523 003505	1682	16	265	33	5	10736000	1
20220523 004240	353	24	128	20	5	10770000	2
20220523 004631	930	15	318	3	5	11346000	3
20220523 010157	1528	11	40	12	5	11642000	4
20220523 014653	1925	9	293	36	5	10866000	5
20220523 022146	757	30	393	41	5	10028000	6
20220523 022940	1161	3	221	31	5	10294000	7
20220523 025956	1055	21	95	27	5	10217000	8
20220523 035416	2477	22	462	21	5	10912000	9
20220523 042311	2268	7	83	24	5	11189000	10
20220523 042711	607	13	174	6	5	11558000	11
20220523 053309	1405	18	421	45	5	10254000	12
20220523 053459	168	28	472	9	5	11326000	13
20220523 053810	428	2	195	49	5	8946000	14
20220523 070427	1831	25	5	42	5	8015000	15
20220523 071907	2144	5	357	17	5	10873000	16
20220523 072632	2500	11	78	2	5	10504000	17
20220523 073016	235	14	375	16	5	11339000	18
20220523 074345	1111	13	173	13	5	11364000	19
20220523 074438	101	8	1	9	5	11217000	20
20220523 074539	100	19	294	7	5	11031000	21
20220523 074706	1017	1	53	7	5	0	22
20220523 075422	537	6	500	30	5	11182000	23
20220523 075541	100	10	288	14	5	11202000	24
20220523 082700	2409	5	363	36	5	10981000	25
20220523 082854	452	24	500	2	5	11425000	26
20220523 083045	177	15	4	9	5	10713000	27
20220523 083443	100	11	1	48	5	9451000	28
20220523 104318	2498	15	498	50	5	10809000	29
20220523 110347	1758	8	500	17	5	11462000	30
20220523 122248	2500	8	56	50	5	10938000	31
20220523 135817	2500	14	1	38	5	10038000	32
20220523 162308	2464	28	131	48	5	8997000	33
20220523 162446	102	22	497	12	5	10557000	34
20220523 163532	2500	26	307	2	5	11424000	35
20220523 163614	102	26	103	2	5	11390000	36
20220523 164219	1388	30	214	2	5	11046000	37
20220523 165126	2077	23	141	2	5	11303000	38
20220523 174001	2500	17	500	18	5	11030000	39
20220523 174727	900	12	500	8	5	11722000	40
20220523 183809	2494	29	500	19	5	10787000	41
20220523 184825	1290	25	321	7	5	11729000	42
20220523 190327	1180	9	6	18	5	11427000	43
20220523 190759	1125	27	387	2	5	11146000	44
20220523 190953	101	30	1	15	5	6481000	45
20220523 192028	681	7	213	29	5	11061000	46
20220523 193021	2500	30	500	2	5	11379000	47
20220523 201317	2123	12	500	23	5	11313000	48
20220523 201404	101	24	231	3	5	10896000	49
20220523 203541	1861	25	500	10	5	11695000	50
20220523 204523	2373	19	484	2	5	11361000	51
20220523 205539	400	26	500	22	5	10789000	52
20220523 212447	2497	25	23	6	5	11425000	53
20220523 213937	1703	14	500	8	5	11785000	54
20220523 214035	100	14	500	6	5	11915000	55
20220523 214649	843	17	500	6	5	11827000	56
20220523 221244	2463	5	500	26	5	10914000	57
20220523 223518	2497	9	209	12	5	11429000	58
20220523 223743	309	26	500	6	5	11911000	59
20220523 224254	594	15	500	8	5	11745000	60
20220523 224337	122	17	500	2	5	11643000	61
20220523 224902	665	25	500	7	5	11690000	62
20220523 224958	176	29	500	2	5	11081000	63
20220523 230756	1902	26	214	8	5	11457000	64
20220523 232708	2499	24	500	6	5	11845000	65
20220523 233047	510	13	500	6	5	11845000	66
20220523 233850	295	18	500	25	5	10790000	67
20220524 000948	2500	24	334	11	5	11661000	68
20220524 014905	2500	11	492	50	5	10777000	69
20220524 015847	1399	18	500	6	5	11798000	70
20220524 023546	1255	14	500	32	5	11224000	71
20220524 024049	753	14	500	6	5	11571000	72
20220524 025457	1837	17	397	7	5	11867000	73
20220524 025602	100	13	435	8	5	11585000	74
20220524 025703	110	16	500	6	5	12159000	75
20220524 025746	100	12	500	4	5	11219000	76
20220524 030952	1604	10	500	9	5	11620000	77
20220524 033132	2173	12	500	11	5	11859000	78
20220524 034311	1712	16	500	6	5	11906000	79
20220524 035915	1826	13	309	9	5	11731000	80
20220524 040849	1561	17	174	5	5	11587000	81
20220524 042725	1322	4	500	50	5	10383000	82
20220524 042853	100	16	500	12	5	10716000	83
20220524 050639	2444	13	145	17	5	11278000	84
20220524 060214	2500	7	500	44	5	10975000	85
20220524 060452	101	14	187	24	5	10435000	86
20220524 062903	1666	13	500	16	5	11605000	87
20220524 063018	101	6	368	21	5	11091000	88
20220524 065155	2500	20	500	8	5	11823000	89
20220524 071124	2499	30	500	7	5	12009000	90
20220524 073051	2499	28	498	7	5	12135000	91
20220524 085442	2500	30	500	31	5	10496000	92
20220524 091135	2203	12	500	8	5	11844000	93
20220525 002700	2239	29	500	6	5	11749000	94
20220525 003053	101	23	500	33	5	10422000	95
20220525 005222	2500	26	496	8	5	11743000	96
20220525 011156	2500	28	329	7	5	11810000	97
20220525 012356	1753	21	500	6	5	11826000	98
20220525 023101	2498	15	500	28	5	10953000	99
20220525 023317	102	7	485	39	5	10989000	100
20220525 023852	142	15	487	39	5	10651000	101
20220525 030539	1529	6	1	40	5	11071000	102
20220525 032054	1757	23	500	8	5	11608000	103
20220525 033943	2500	15	95	7	5	11644000	104
20220525 035345	1624	7	1	15	5	11659000	105
20220525 052603	2498	19	500	35	5	10525000	106
20220525 055629	1695	24	411	17	5	11192000	107
20220525 060234	100	30	500	50	5	9322000	108
20220525 062223	2498	21	112	7	5	11486000	109
20220525 062404	115	5	8	34	5	10863000	110
20220525 064708	2174	28	500	10	5	11637000	111
20220525 065006	268	8	1	16	5	11105000	112
20220525 070915	2500	17	498	7	5	11930000	113
20220525 071528	365	12	500	19	5	11220000	114
20220525 073338	1726	7	283	19	5	11312000	115
20220525 074254	1211	7	500	13	5	11476000	116
