fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 203658	-0.287645675179374	5724	1199	11	5	8927000	1
20220520 203732	-0.841986768435163	4958	705	19	5	8861000	2
20220520 203802	-0.371017828134063	2909	946	8	5	9924000	3
20220520 203831	-0.0854901628365041	5233	1927	15	5	8964000	4
20220520 203903	-0.160964781613438	7137	259	12	5	7802000	5
20220520 203924	-0.754619089039625	3306	521	5	5	9913000	6
20220520 203953	-0.484348132855666	6276	1088	16	5	8806000	7
20220520 204008	-0.982787931140047	6633	1462	3	5	8089000	8
20220520 204040	-0.402239747045678	3567	1772	10	5	9290000	9
20220520 204102	0.0208249222327141	876	82	18	5	0	10
20220520 204119	0.039346934130299	7926	1670	7	5	0	11
20220520 204141	-0.219284505906398	4376	145	5	5	9497000	12
20220520 204208	-0.10606962001184	6262	1861	19	5	8839000	13
20220520 204227	-0.966558676480781	5920	666	4	5	8571000	14
20220520 204248	-0.714227475447115	4997	853	5	5	8861000	15
20220520 204317	-0.290525016654283	4481	336	9	5	9513000	16
20220520 204333	0.0920238337358189	3240	622	3	5	0	17
20220520 204351	-0.416752198525187	3110	20	3	5	8108000	18
20220520 204420	-0.184682205668771	4000	2000	12	5	9037000	19
20220520 204436	-0.797477527761151	6936	191	3	5	8203000	20
20220520 204516	-0.754191443547585	718	359	17	5	11227000	21
20220520 204558	-0.681220906835959	710	355	20	5	11098000	22
20220520 204656	-0.720175401874966	8	4	18	5	5989000	23
20220520 204733	-0.696678498840028	1184	589	20	5	10537000	24
20220520 204810	-0.593246295668759	874	435	13	5	10275000	25
20220520 204851	-0.919424238081384	770	383	20	5	10797000	26
20220520 204930	-0.757238173444246	2014	404	20	5	10916000	27
20220520 205001	-0.685142121863031	3855	1926	20	5	9350000	28
20220520 205033	-0.380711628902031	2718	1356	20	5	9654000	29
20220520 205109	-0.845447993064424	800	398	10	5	10871000	30
20220520 205142	-0.998981181015418	2302	1150	15	5	9801000	31
20220520 205212	-0.37097583353088	4773	2000	20	5	8953000	32
20220520 205246	-0.677166246596719	2520	1260	12	5	9296000	33
20220520 205318	-0.999601700031392	3657	1828	20	5	9335000	34
20220520 205336	-0.33271132963285	7998	243	3	5	7720000	35
20220520 205417	-0.999741341614386	788	382	14	5	10797000	36
20220520 205435	-0.92794470069585	4000	2000	3	5	8104000	37
20220520 205519	-0.709238190883828	837	407	16	5	10798000	38
20220520 205538	-0.999333193644644	684	333	3	5	8198000	39
20220520 205618	-0.796125481344159	830	413	18	5	10802000	40
20220520 205659	-0.458049573348901	795	388	20	5	10730000	41
20220520 205735	-0.250671058602913	1643	820	20	5	10734000	42
20220520 205752	-0.23961178264732	1333	664	3	5	8188000	43
20220520 205828	-0.767412914195127	2303	326	12	5	10565000	44
20220520 205904	-0.365341451105562	1603	801	20	5	10772000	45
20220520 205938	-0.299654718245686	1977	988	20	5	10154000	46
20220520 210011	-0.24298662623812	4549	750	20	5	9424000	47
20220520 210053	-0.267447858129544	623	308	20	5	10592000	48
20220520 210127	-0.999807162538103	7938	350	18	5	7995000	49
20220520 210204	-0.949318884503818	1140	569	14	5	10546000	50
20220520 210235	-0.852149877747279	3246	1615	14	5	9339000	51
20220520 210309	-0.528637519190208	1641	818	19	5	10734000	52
20220520 210350	-0.753389476448507	811	376	19	5	10538000	53
20220520 210424	-0.857773735072529	2851	676	20	5	10133000	54
20220520 210502	-0.92797104582911	1948	349	17	5	10850000	55
20220520 210536	-0.291849891828968	1668	831	14	5	10655000	56
20220520 210608	-0.265916106091674	3403	1700	16	5	9354000	57
