fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220529 153715	0	0	0	1	hist	lossguide	256	0	1	0.227662778330618	0.364393490934744	3	737	0.0348731964084436	7	7794000	1
20220529 153752	0	0	0	1	hist	lossguide	256	0	1	0.124254211341613	0.620732169458643	6	668	0.0363682762874911	21	7814000	2
20220529 153914	0	0	0	1	hist	lossguide	256	0	1	0.0385018549322849	0.517896501431242	5	171	0.0284886661422206	75	10377000	3
20220529 153946	0	0	0	1	hist	lossguide	256	0	1	0.189876673409017	0.791002329345793	4	594	0.03103877625108	10	8852000	4
20220529 154020	0	0	0	1	hist	lossguide	256	0	1	0.13220977232547	0.961585424765945	8	853	0.0236003863440904	18	10898000	5
20220529 154043	0	0	0	1	hist	lossguide	256	0	1	0.169579226115136	0.562035071300343	0	389	0.0151697710811277	2	870000	6
20220529 154112	0	0	0	1	hist	lossguide	256	0	1	0.205332077905536	0.411132716480643	5	545	0.0395632314680067	10	7485000	7
20220529 154159	0	0	0	1	hist	lossguide	256	0	1	0.06509245492646	0.477342304103076	8	113	0.0112966694238518	33	13354000	8
20220529 154224	0	0	0	1	hist	lossguide	256	0	1	0.258869529448915	0.879067636700347	9	645	0.0205648328129125	9	11274000	9
20220529 154342	0	0	0	1	hist	lossguide	256	0	1	0.0416853141295724	0.718266712268814	3	468	0.0492214445834785	45	5325000	10
20220529 154443	0	0	0	1	hist	lossguide	256	0	1	0.0843554260525852	0.743421897310764	1	773	0.0214815675800007	13	7400000	11
20220529 154513	0	0	0	1	hist	lossguide	256	0	1	0.160730999834021	0.810906850071624	9	313	0.0410670110000259	13	8351000	12
20220529 155011	0	0	0	1	hist	lossguide	256	0	1	0.0178269537012093	0.311305816033855	0	222	0.0255827950784199	240	1339000	13
20220529 155034	0	0	0	1	hist	lossguide	256	0	1	0.28071310608869	0.659914166629314	7	33	0.0183813008547683	8	11047000	14
