fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220529 153753	0	0	0	1	auto	depthwise	256	0	1	0.205386763578048	0.956050757411868	3	6	0.0480046002276746	15	7538000	1
20220529 154046	0	0	0	1	auto	depthwise	256	0	1	0.109308269706438	0.419548013648018	4	5	0.032195161152049	84	10843000	2
20220529 154418	0	0	0	1	auto	depthwise	256	0	1	0.254422423174372	0.572489692950621	8	20	0.0188774450104878	9	11091000	3
20220529 154803	0	0	0	1	auto	depthwise	256	0	1	0.186120475863107	0.525968585787341	7	19	0.0263384016337416	9	9739000	4
20220529 155607	0	0	0	1	auto	depthwise	256	0	1	0.124688872900326	0.968649723641575	7	14	0.0280576349464051	29	11095000	5
20220529 162526	0	0	0	1	auto	depthwise	256	0	1	0.0180165237828624	0.70900792199187	5	11	0.0382275170156693	315	9806000	6
20220529 163030	0	0	0	1	auto	depthwise	256	0	1	0.0710535184682812	0.349206252656877	6	15	0.0294501005589458	48	10417000	7
20220529 163244	0	0	0	1	auto	depthwise	256	0	1	0.27623293327284	0.447221376914531	0	9	0.0159060803746494	4	9091000	8
20220529 163903	0	0	0	1	auto	depthwise	256	0	1	0.14146112557163	0.512940845517442	1	25	0.0083604310178392	22	8679000	9
20220529 164324	0	0	0	1	auto	depthwise	256	0	1	0.269462147968705	0.806833406761289	8	16	0.0408911990176421	6	8059000	10
20220529 165130	0	0	0	1	auto	depthwise	256	0	1	0.0934742189180106	0.781163311684504	10	27	0.0227727812535401	32	11702000	11
20220529 165354	0	0	0	1	auto	depthwise	256	0	1	0.22444166625943	0.385642516603693	0	23	0.0433410728723781	1	1385000	12
20220529 165957	0	0	0	1	auto	depthwise	256	0	1	0.126465529812383	0.617314979825169	9	28	0.0472968022106215	31	7476000	13
20220529 170429	0	0	0	1	auto	depthwise	256	0	1	0.229566059406498	0.859256467800587	9	13	0.0186568082538239	13	11184000	14
20220529 170639	0	0	0	1	auto	depthwise	256	0	1	0.174677810389083	0.253051835438237	3	8	0.0349704304317129	53	8466000	15
20220529 172037	0	0	0	1	auto	depthwise	256	0	1	0.0599508019046625	0.645700099878013	1	24	0.0361075601763635	56	6447000	16
20220529 172331	0	0	0	1	auto	depthwise	256	0	1	0.0257869036777411	0.297641828870401	2	2	0.0110083733020777	230	12551000	17
20220529 172831	0	0	0	1	auto	depthwise	256	0	1	0.292375544047565	0.74063617778942	5	30	0.0241156005936015	8	9256000	18
20220529 173500	0	0	0	1	auto	depthwise	256	0	1	0.0459735208580969	0.22006597103551	10	21	0.0132062672821727	161	13271000	19
20220529 173725	0	0	0	1	auto	depthwise	256	0	1	0.162572652429226	0.905616191625595	4	3	0.0446233791236106	49	8770000	20
20220529 174056	0	0	0	1	auto	depthwise	256	0	1	0.020064523542645	0.200021994502345	10	2	0.0100296101886761	395	12642000	21
20220529 175616	0	0	0	1	auto	depthwise	256	0	1	0.0101853902697761	0.30555175598609	10	30	0.00835171018265304	77	12188000	22
20220529 180604	0	0	0	1	auto	depthwise	256	0	1	0.0101180560657353	0.204434944137593	5	2	0.0171595572107902	1465	13236000	23
20220529 183500	0	0	0	1	auto	depthwise	256	0	1	0.0100631521658229	0.99989070949989	4	2	0.0164900771465826	1547	13166000	24
20220529 185253	0	0	0	1	auto	depthwise	256	0	1	0.0101542523440512	0.200876032589143	8	8	0.0144500721714689	834	13031000	25
20220529 185602	0	0	0	1	auto	depthwise	256	0	1	0.0466926306315269	0.608504627943048	5	2	0.0141684904909539	157	12813000	26
20220529 190818	0	0	0	1	auto	depthwise	256	0	1	0.0103478569664733	0.203972934164783	10	18	0.0152467308756622	160	12976000	27
20220529 191019	0	0	0	1	auto	depthwise	256	0	1	0.0797323057723403	0.200306763659468	7	2	0.0152635387412158	271	13633000	28
20220529 191101	0	0	0	1	auto	depthwise	256	0	1	0.298830863499976	0.200431873056863	9	2	0.0127503379020137	62	12764000	29
20220529 191240	0	0	0	1	auto	depthwise	256	0	1	0.299872945227822	0.200524838556217	10	29	0.00844280753955166	24	10985000	30
20220529 194908	0	0	0	1	auto	depthwise	256	0	1	0.0174605968887324	0.999994496564371	8	22	0.0117282457109844	125	13277000	31
20220529 195020	0	0	0	1	auto	depthwise	256	0	1	0.0956265763378082	0.200355155567728	6	2	0.0098022996457973	114	12991000	32
20220529 195145	0	0	0	1	auto	depthwise	256	0	1	0.0759956975458873	0.20035656989155	8	2	0.0184377472093291	170	13689000	33
20220529 200856	0	0	0	1	auto	depthwise	256	0	1	0.0146742312388305	0.999817590786192	8	2	0.0210251757748969	862	12697000	34
20220529 201052	0	0	0	1	auto	depthwise	256	0	1	0.0957102770477216	0.200192823720745	10	4	0.01685724421609	131	13632000	35
20220529 201217	0	0	0	1	auto	depthwise	256	0	1	0.096496041655061	0.200358427327859	9	2	0.0164234148222256	189	13651000	36
20220529 201435	0	0	0	1	auto	depthwise	256	0	1	0.0775636737117436	0.208217668833284	8	4	0.0165191359427043	170	13168000	37
20220529 201546	0	0	0	1	auto	depthwise	256	0	1	0.0995078650902118	0.200006347770651	10	2	0.0222443410026605	137	13374000	38
20220529 201840	0	0	0	1	auto	depthwise	256	0	1	0.0377350820937284	0.201011164178218	10	2	0.0188925955200833	416	13659000	39
20220529 210855	0	0	0	1	auto	depthwise	256	0	1	0.0102092924820285	0.999954674127823	10	23	0.0131383653822341	153	13689000	40
20220529 212815	0	0	0	1	auto	depthwise	256	0	1	0.0435278226789107	0.999449570969868	10	30	0.0133703093184161	86	13252000	41
20220529 212924	0	0	0	1	auto	depthwise	256	0	1	0.138128285123947	0.204221460246239	10	2	0.0186103409998705	116	13534000	42
20220529 213229	0	0	0	1	auto	depthwise	256	0	1	0.0712938399881165	0.200406198634873	10	9	0.0168624925787619	106	12828000	43
20220529 213411	0	0	0	1	auto	depthwise	256	0	1	0.0973420859705501	0.239990060049774	10	2	0.013913113396609	212	13306000	44
20220529 224151	0	0	0	1	auto	depthwise	256	0	1	0.0104258652223951	0.737110675755436	10	21	0.00839529268074715	691	12241000	45
20220529 233933	0	0	0	1	auto	depthwise	256	0	1	0.0100044957549581	0.997003443508884	9	25	0.0149188823782243	196	13261000	46
20220530 001531	0	0	0	1	auto	depthwise	256	0	1	0.0103102312432965	0.997691493848746	6	2	0.0125947545692039	2089	13577000	47
20220530 001730	0	0	0	1	auto	depthwise	256	0	1	0.299898404009064	0.999829610315417	6	2	0.0180104570809796	65	12718000	48
20220530 001813	0	0	0	1	auto	depthwise	256	0	1	0.298180635157557	0.225083847731993	10	2	0.0201996339346292	59	13196000	49
20220530 001936	0	0	0	1	auto	depthwise	256	0	1	0.0979703071272923	0.201449254722712	7	2	0.0184710832253621	168	13296000	50
20220530 010722	0	0	0	1	auto	depthwise	256	0	1	0.0100669752889831	0.998522327060481	6	16	0.0133193578071364	104	12943000	51
20220530 012152	0	0	0	1	auto	depthwise	256	0	1	0.0101408317150952	0.200249442086784	7	2	0.0132115757659688	2464	13646000	52
20220530 012754	0	0	0	1	auto	depthwise	256	0	1	0.0841954552816516	0.998873275319319	10	2	0.0318521636824413	317	11132000	53
20220530 021813	0	0	0	1	auto	depthwise	256	0	1	0.0113615182821506	0.999876326809473	10	21	0.0156560297859118	202	13588000	54
20220530 022256	0	0	0	1	auto	depthwise	256	0	1	0.0153660800295288	0.200164390306164	8	2	0.0296067774996826	598	12128000	55
20220530 023309	0	0	0	1	auto	depthwise	256	0	1	0.0797193294390272	0.999160875672704	10	23	0.0144753226506922	27	12888000	56
20220530 025245	0	0	0	1	auto	depthwise	256	0	1	0.0101016757758716	0.226031909229816	10	23	0.0155226382172238	409	12878000	57
20220530 031522	0	0	0	1	auto	depthwise	256	0	1	0.0142834952835314	0.998999364261763	10	2	0.0153052507824665	1264	13501000	58
20220530 033255	0	0	0	1	auto	depthwise	256	0	1	0.0107240594314498	0.998938256844672	7	2	0.0150195513125508	753	12927000	59
20220530 040551	0	0	0	1	auto	depthwise	256	0	1	0.0102312486122402	0.999686292940274	4	2	0.0106266548859463	1822	12974000	60
20220530 042302	0	0	0	1	auto	depthwise	256	0	1	0.0120354192139427	0.999767486643014	3	2	0.026266515176662	751	11841000	61
20220530 043959	0	0	0	1	auto	depthwise	256	0	1	0.0100873199691228	0.200847316179452	8	21	0.0124539738329047	300	12683000	62
20220530 050904	0	0	0	1	auto	depthwise	256	0	1	0.010164184539688	0.996324200842281	10	7	0.0135108390307225	172	13943000	63
20220530 055147	0	0	0	1	auto	depthwise	256	0	1	0.0102640473470578	0.998628060159035	6	8	0.0123623891841711	361	13443000	64
20220530 055318	0	0	0	1	auto	depthwise	256	0	1	0.29976096247108	0.995006153489082	6	2	0.00834606332966392	28	11438000	65
20220530 062622	0	0	0	1	auto	depthwise	256	0	1	0.0150410442021008	0.999815317626242	10	6	0.0114838248948084	533	13368000	66
20220530 063853	0	0	0	1	auto	depthwise	256	0	1	0.0182580962397399	0.998926381029829	0	2	0.0129237619601504	517	12945000	67
