Feature	Gain	Cover	Frequency	pos
ctrx_quarter_normalizado_rank	0.174781229577247	0.0112403129968045	0.00164024056861673	1
ctrx_quarter_normalizado	0.0612319379550119	0.00240917262362081	0.000546746856205577	2
ctrx_quarter_rank	0.0276964874443847	0.0036622022013988	0.00071077091306725	3
cproductos_ratioavg12	0.0234309584345007	0.00662030510456445	0.00169491525423729	4
mcaja_ahorro_rank	0.0219936310108	0.00417257907508631	0.00131219245489338	5
mv_status07_ratioavg12	0.0145008954177296	0.00272373735663083	0.000492072170585019	6
mcuentas_saldo	0.011899499926723	0.00232456443994337	0.00136686714051394	7
mcuentas_saldo_rank_ratioavg12	0.0114112504359477	0.00170677818265193	0.00147621651175506	8
mv_tarjeta_consumo_rank	0.0106616786730358	0.00244936336764284	0.0010388190267906	9
mcaja_ahorro_ratioavg12	0.00864929657556787	0.000242319296464756	0.00071077091306725	10
mv_tarjeta_ctrx_ratioavg12	0.00810902873640084	0.00266047196032905	0.000765445598687808	11
mtarjeta_visa_consumo_rank	0.00751872841810837	0.00339454636281852	0.000984144341170038	12
mprestamos_personales_ratiomax12	0.0071668924123663	0.00451184904663082	0.00207763805358119	13
cpayroll_trx	0.00646571236621174	0.00545316657335583	0.00114816839803171	14
mtarjeta_visa_consumo_avg12_delta1	0.00568214946559978	0.000667578217273026	0.000765445598687808	15
mprestamos_personales_ratioavg12	0.0052571472444871	0.00297381797359173	0.00196828868234008	16
mv_tarjeta_consumo_ratioavg12	0.00517064161054157	0.00101224296487358	0.000546746856205577	17
mpasivos_margen	0.00503510682892078	0.00129836865314261	0.000820120284308365	18
ccomisiones_mantenimiento_ratioavg12	0.00468142869915181	0.00106676801373538	0.00164024056861673	19
mdescubierto_preacordado_delta2	0.00458500146646116	0.00070058492910027	0.000164024056861673	20
mcuentas_saldo_rank	0.00412005000828455	0.00184933125758465	0.000929469655549481	21
mdescubierto_preacordado	0.00362488127265035	0.000159301187582302	0.000437397484964461	22
mv_tarjeta_ctrx	0.00360118473092516	0.0015830224250409	0.000492072170585019	23
mdescubierto_preacordado_avg12_delta1	0.0035488749366966	0.00688482130501449	0.00136686714051394	24
mtarjeta_visa_consumo_ratioavg12	0.00348892725025842	0.00218065760706417	0.000546746856205577	25
cpayroll_trx_ratioavg12	0.00311484215668366	0.00519059492297355	0.0010388190267906	26
mdescubierto_preacordado_tend12_delta2	0.00304919509230195	0.000276723653653203	0.000382722799343904	27
mpayroll_sobre_edad_rank	0.00302345923449327	0.00241981363371383	0.000874794969928923	28
mprestamos_personales	0.0029711220643362	0.00410379061643929	0.00136686714051394	29
mpayroll_sobre_edad	0.0028984311645778	0.00285269208490914	0.000984144341170038	30
mes_lag1	0.00279364253649126	0.00931088383139399	0.0024603608529251	31
