Feature	Gain	Cover	Frequency
cpayroll_trx	0.0889040372184254	0.0146864898325809	0.00532416132679985
mpasivos_margen	0.0807387173835734	0.0174280718114225	0.0251130795326046
mcaja_ahorro	0.0630130802726102	0.0192190206257458	0.024500565397663
ctrx_quarter	0.0403762386369692	0.0199782743026968	0.0254900113079533
mtarjeta_visa_consumo	0.0330358555025592	0.0133061032728347	0.0200245005653977
mactivos_margen	0.0292066582121584	0.0234601068449994	0.023039954768187
Visa_msaldopesos	0.0287651705127785	0.0158607862534372	0.0241236336223144
mpayroll	0.0279215694884938	0.0248305279652018	0.0102242744063325
mcuentas_saldo	0.0277070897005474	0.0286938131886769	0.0273746701846966
ctarjeta_visa_trx	0.0247631485601209	0.0167111836227412	0.0171032793064455
mrentabilidad_annual	0.0239353645675447	0.0184530771403225	0.0256784771956276
Visa_msaldototal	0.022956163516124	0.0124287339020639	0.018516773464003
mprestamos_personales	0.0215496638593249	0.0226285641466895	0.00975310968714663
Master_fechaalta	0.0177121064665815	0.0222376259900425	0.0253957783641161
cliente_edad	0.016257591513876	0.022734591673277	0.0253486618921975
Visa_mpagominimo	0.0158385929257009	0.0107609032936651	0.0172446287222013
Visa_fechaalta	0.0146595484555329	0.0201509648800567	0.0244534489257444
mrentabilidad	0.014455683793662	0.0148272627993262	0.0197889182058048
mcuenta_corriente	0.0138467202177082	0.0127188820781795	0.0179984922728986
Visa_mconsumosdolares	0.0134662026416019	0.00641659016290928	0.00735016961929891
Master_Fvencimiento	0.0132694280296725	0.0173192882024983	0.0220033923859781
Master_mfinanciacion_limite	0.0127225036351824	0.0126339531783125	0.0227101394647569
chomebanking_trx	0.0124601524346611	0.0152679860949857	0.0202600829249906
cliente_antiguedad	0.0120428118905314	0.0134450677151741	0.0208254805880136
mautoservicio	0.0120331575140647	0.0143574571447195	0.0148416886543536
mcomisiones_otras	0.0118294579335236	0.0104993624605104	0.0189879381831888
Visa_Fvencimiento	0.0116237450996174	0.0153692807800024	0.0210139464756879
numero_de_cliente	0.0110493127312286	0.0139449206049498	0.0206370147003392
mcomisiones	0.0106239804556802	0.0113522116050349	0.0178100263852243
Visa_mconsumospesos	0.00972241848476966	0.0134459831105642	0.0208254805880136
cproductos	0.00964000402484585	0.00708294605201633	0.0081982661138334
Visa_mlimitecompra	0.00949062081933737	0.0133511407260268	0.0176686769694685
Visa_mfinanciacion_limite	0.0094545296547703	0.0131502262821531	0.0167263475310969
mcaja_ahorro_dolares	0.00937297126738703	0.0146465761195317	0.0160196004523181
ccomisiones_otras	0.00922273910163908	0.0127375437739292	0.0120147003392386
Master_mlimitecompra	0.0089627381285547	0.0119443066616319	0.0179042593290614
Visa_mconsumototal	0.00832252698865665	0.00817511666213253	0.0131926121372032
mtransferencias_recibidas	0.00822743407860174	0.00694362534768727	0.0122502826988315
cprestamos_personales	0.00789460774910465	0.00561319463582359	0.00362796833773087
Visa_mpagospesos	0.00784912521005137	0.00978742482906036	0.0162080663399925
Visa_cconsumos	0.00775835571514594	0.00708845821668959	0.0132397286091217
mcomisiones_mantenimiento	0.00699844570014759	0.0103600467042645	0.00862231436110064
mtransferencias_emitidas	0.00698760731050402	0.0130609702835368	0.0132868450810403
ccomisiones_mantenimiento	0.00646627722314174	0.012957520708291	0.00636072370900867
ctransferencias_recibidas	0.00616524091917497	0.00980143532661183	0.0106483226535997
mpagomiscuentas	0.00538583706253694	0.00830125072476121	0.0092819449679608
mcuenta_debitos_automaticos	0.00535028621498656	0.00967087272952842	0.0079155672823219
thomebanking	0.00525085997960605	0.00541442518601261	0.00442894836034678
mextraccion_autoservicio	0.00503399609887301	0.00899717388496795	0.00767998492272899
ctransferencias_emitidas	0.00499282731192541	0.0118028063266578	0.00753863550697324
mtarjeta_visa_debitos_automaticos	0.00498407330811887	0.00978372118879292	0.0092819449679608
Master_mpagospesos	0.00495875239572455	0.0101423434141284	0.00857519788918206
Visa_mpagado	0.00475195366098629	0.011657688942872	0.00800980022615907
Master_msaldopesos	0.00456426793343193	0.00643742159313766	0.00702035431586883
Master_mpagominimo	0.00441518628343098	0.0071142426781908	0.00702035431586883
ctarjeta_debito_trx	0.00421953839952459	0.00609483857946143	0.00890501319261214
Master_status	0.00388503278504754	0.0103065554509429	0.00282698831511496
ctarjeta_visa_debitos_automaticos	0.00386071570184438	0.0067816251040585	0.00697323784395025
ccuenta_debitos_automaticos	0.00373093685430269	0.00774625392187857	0.00560686015831135
ccallcenter_trx	0.00358764541540429	0.00451311698877035	0.0024500565397663
ccaja_ahorro	0.00341077924214012	0.0083399348391378	0.00395778364116095
Master_msaldototal	0.00339934807498047	0.00496747720170052	0.0051828119110441
ctarjeta_master	0.00321904884769967	0.00104782836261225	0.00113079532604599
cextraccion_autoservicio	0.00305941086049241	0.00558529734280041	0.00372220128156804
ctarjeta_debito	0.00284112526417962	0.0047858726524744	0.00508857896720694
tcallcenter	0.00263688428870403	0.0031784680359875	0.00174330946098756
mplazo_fijo_dolares	0.0025238388521722	0.0138728295069183	0.00414624952883528
Master_mconsumospesos	0.00249043474767974	0.00502689131060011	0.00508857896720694
matm	0.0024258688417099	0.00623826866687949	0.00466453071993969
ccajas_otras	0.0023499452890901	0.0144513445492013	0.00263852242744063
mdescubierto_preacordado	0.00230643189143354	0.00689135379687193	0.00197889182058048
Master_mconsumototal	0.00228024744903741	0.00507550622793831	0.00490011307953261
cpagomiscuentas	0.00216893157421125	0.00582424028002806	0.00494722955145119
Visa_mpagosdolares	0.00207898176337437	0.00458856783528755	0.0040991330569167
ccajas_consultas	0.0017927002882864	0.00653219223046881	0.00183754240482473
Master_fultimo_cierre	0.00179184994320182	0.00292709303974588	0.00348661892197512
mtarjeta_master_consumo	0.0016928767096361	0.00336233138518969	0.00310968714662646
cmobile_app_trx	0.00164859242296577	0.00199169749741019	0.00320392009046363
cseguro_accidentes_personales	0.00162760460904297	0.00728375658614304	0.00320392009046363
Master_cconsumos	0.00157256834854792	0.00221838650661871	0.0030154542027893
Visa_Finiciomora	0.00152781489695755	0.00509968998452767	0.00160196004523181
Visa_status	0.00150197290218191	0.00444007833280809	0.0013663776856389
Visa_fultimo_cierre	0.00136614202055739	0.00218732491439575	0.00292122125895213
Visa_delinquency	0.00127955234023791	0.00196611590731976	0.00169619298906898
catm_trx	0.00123247289145311	0.00468895949512213	0.00315680361854504
ccaja_seguridad	0.00122210761249674	0.0069553572529299	0.00202600829249906
Visa_msaldodolares	0.00107403875807349	0.00291394350866941	0.00230870712401055
Master_mpagado	0.000825784098607896	0.00678842377036106	0.00202600829249906
tpaquete9	0.0007942565611516	0.00365140087916998	0.00127214474180173
active_quarter	0.000770562651690756	0.000438580775638413	0.000706747078778741
internet	0.000702205711439099	0.00374135950559921	0.0013663776856389
ccajas_trx	0.000691526618088801	0.00178006550534775	0.000895212966453072
ctarjeta_master_trx	0.000690444122545593	0.00164736286228483	0.00155484357331323
tpaquete7	0.000676168197364041	0.00467982038547087	0.00103656238220882
tmobile_app	0.00066424161487805	0.00670656515611327	0.0013663776856389
cinversion1	0.00064845001312934	0.00565547105859586	0.00113079532604599
mtarjeta_visa_descuentos	0.000635613298598438	0.00497726698429122	0.00179042593290614
mttarjeta_master_debitos_automaticos	0.0006212917524416	0.00176754932891956	0.00141349415755748
mcheques_emitidos	0.000590442937629049	0.00261190261460748	0.000471164719185827
cplazo_fijo	0.000587839149938962	0.00338738105633724	0.000895212966453072
matm_other	0.000563453909703687	0.00250505865429362	0.00146061062947606
minversion2	0.000505944013106393	0.00472682470173085	0.00113079532604599
catm_trx_other	0.000402766330298738	0.00206481284866189	0.000848096494534489
ctarjeta_visa	0.000387150379631581	0.00040596053721072	0.000329815303430079
ccajas_extracciones	0.000364090414453289	0.0017414531381774	0.000706747078778741
mcheques_depositados	0.00031113811278883	0.00299978532988486	0.000753863550697324
ctarjeta_master_debitos_automaticos	0.000309989981630685	0.00159036836606497	0.000612514134941576
Master_mconsumosdolares	0.000304737387162952	0.000257327540318757	0.000753863550697324
Visa_madelantopesos	0.000282810653089994	0.000273364277936376	0.000848096494534489
cseguro_vivienda	0.000264553567944255	0.000488383232942127	0.000471164719185827
mcaja_ahorro_adicional	0.000247104404958986	0.00110121570618686	0.000424048247267245
ccajeros_propios_descuentos	0.000225039187112516	0.00238860551642547	0.000471164719185827
Master_msaldodolares	0.000209502152029972	0.000841760490096556	0.00051828119110441
minversion1_pesos	0.00020425016410218	0.00122708504636489	0.000282698831511496
Master_mpagosdolares	0.000160825811876148	0.000209066410928616	0.000376931775348662
ccheques_emitidos	0.000157262279572601	0.000758395184517523	0.000141349415755748
ctarjeta_visa_descuentos	0.000154995076648485	0.000998508343419527	0.000565397663022993
ccheques_depositados	0.000151971908222297	0.00181594653059741	0.000329815303430079
Visa_madelantodolares	0.000140709908753635	0.000256763458835138	0.000753863550697324
ccajas_depositos	0.00011545089945429	0.00107002793784257	0.000235582359592914
Master_madelantodolares	0.000112924146882068	2.57993057507763e-05	0.000141349415755748
cseguro_vida	0.000102825886082153	0.000528786806227122	0.000329815303430079
tpaquete1	0.000102631516458496	0.0016531545936583	0.000329815303430079
Master_madelantopesos	9.92909403377059e-05	9.6559369404205e-05	0.000329815303430079
mforex_sell	9.47111757942699e-05	0.000998090230390002	0.000376931775348662
Visa_cadelantosefectivo	8.84760183649718e-05	0.000120498195875677	0.000235582359592914
Master_delinquency	8.45098234453596e-05	0.00014428857985146	0.000188465887674331
cseguro_auto	6.27877614736014e-05	0.000718624965880802	0.000141349415755748
cforex_sell	5.72752564974543e-05	0.000411047166729669	0.000188465887674331
cforex	1.29973946459804e-05	4.45327487067486e-05	9.42329438371655e-05
cprestamos_prendarios	1.21718238099556e-05	0.000255093480758635	4.71164719185827e-05
mprestamos_prendarios	1.07447449984853e-05	0.000244103787994447	4.71164719185827e-05
cinversion2	2.07976597738341e-06	5.34863052383999e-05	4.71164719185827e-05
mcajeros_propios_descuentos	1.12479301153489e-06	7.93103514051244e-05	9.42329438371655e-05
