fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	max_depth	neg_bagging_fraction	pos_bagging_fraction	bagging_freq	scale_pos_weight	ganancia	iteracion
20220531 025713	binary	custom	TRUE	TRUE	FALSE	-100	31	621	TRUE	240007	0.217836912916566	0.791438065123511	3589	538	0.0175966796647117	16	0.58185594984272	0.860834823753685	8	4.14661072945886	11444000	1
20220531 025722	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.136535109709541	0.405202464456088	3616	482	0.026379371513273	6	0.780815295175416	0.852568829145748	5	6.54141963515815	3641000	2
20220531 025821	binary	custom	TRUE	TRUE	FALSE	-100	31	686	TRUE	240007	0.159444655894302	0.572400677663973	5193	631	0.0418505981438405	7	0.595165376096847	0.900869045370491	19	7.3269932822797	11020000	3
20220531 025832	binary	custom	TRUE	TRUE	FALSE	-100	31	6	TRUE	240007	0.0792927378890454	0.681249095234671	1915	608	0.0344923990497288	8	0.829631537399837	0.835899483606918	10	4.84584462435794	10232000	4
20220531 025841	binary	custom	TRUE	TRUE	FALSE	-100	31	3	TRUE	240007	0.106821661634545	0.532238722803886	4438	389	0.018701685876052	12	0.540407790144091	0.939558685958618	19	2.89378793803148	2526000	5
20220531 025911	binary	custom	TRUE	TRUE	FALSE	-100	31	198	TRUE	240007	0.126159385400999	0.392347322376445	3252	576	0.0299725707043156	25	0.863613396175206	0.89433712432161	12	2.2033795765572	12804000	6
20220531 025919	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.121877644823689	0.432056202754029	3810	839	0.0242363472602544	18	0.497785755430814	0.82313450800837	21	3.77331593733659	2666000	7
20220531 025933	binary	custom	TRUE	TRUE	FALSE	-100	31	170	TRUE	240007	0.211495063767943	0.474889284584788	2873	352	0.0396499714954795	15	0.222665689607384	0.879129642668413	3	0.919102778258617	10626000	8
20220531 025939	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.0738060003317078	0.624936057665036	7653	878	0.0144027604134559	17	0.29995218262251	0.929276204247726	25	1.36569739458675	-1119000	9
20220531 025945	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.0971366797388764	0.217251669821562	1526	291	0.0228529190596115	3	0.451261065744329	0.843751294612885	13	5.5388027010198	1010000	10
